row,col,hsa,hs,ha,thsa,ths,tha
1,36,331,331,0,1005,937,68
2,36,1101,1101,0,3403,3032,371
3,36,81,81,0,269,253,16
4,36,311,311,0,1039,993,46
5,36,573,573,0,1311,1125,186
6,36,850,850,0,2569,2513,56
7,36,11,11,0,29,21,8
8,36,161,161,0,702,654,48
9,36,164,119,45,424,254,170
10,36,121,105,16,254,209,45
11,36,238,128,110,435,193,242
12,36,78,55,23,156,109,47
1,37,119,119,0,421,400,21
2,37,450,450,0,1680,1384,296
3,37,36,36,0,118,112,6
4,37,144,144,0,429,414,15
5,37,253,253,0,618,539,79
6,37,343,343,0,1143,1127,16
7,37,3,3,0,9,5,4
8,37,73,73,0,428,392,36
9,37,90,70,20,266,163,103
10,37,66,59,7,131,108,23
11,37,77,40,37,155,68,87
12,37,23,20,3,43,34,9
1,38,360,360,0,1123,1047,76
2,38,1415,1415,0,4587,4047,540
3,38,94,94,0,322,298,24
4,38,428,428,0,1285,1253,32
5,38,714,714,0,1683,1443,240
6,38,908,908,0,2883,2833,50
7,38,3,3,0,13,6,7
8,38,198,198,0,1100,997,103
9,38,235,168,67,599,362,237
10,38,211,176,35,437,322,115
11,38,206,102,104,414,168,246
12,38,71,55,16,140,106,34
1,39,456,456,0,1399,1284,115
2,39,1581,1581,0,5235,4542,693
3,39,104,104,0,384,353,31
4,39,502,502,0,1625,1586,39
5,39,1003,1003,0,2363,1997,366
6,39,1091,1091,0,3360,3304,56
7,39,6,6,0,28,19,9
8,39,269,269,0,1316,1216,100
9,39,265,195,70,738,440,298
10,39,202,163,39,413,319,94
11,39,296,150,146,594,247,347
12,39,113,95,18,221,170,51
1,40,212,212,0,633,586,47
2,40,930,930,0,2981,2560,421
3,40,53,53,0,221,207,14
4,40,250,250,0,804,778,26
5,40,476,476,0,1226,985,241
6,40,610,610,0,1816,1772,44
7,40,9,9,0,15,13,2
8,40,180,180,0,814,732,82
9,40,180,123,57,474,278,196
10,40,91,78,13,167,127,40
11,40,166,87,79,334,146,188
12,40,55,44,11,85,68,17
1,41,78,78,0,270,250,20
2,41,380,380,0,1634,1266,368
3,41,20,20,0,74,68,6
4,41,92,92,0,319,313,6
5,41,144,144,0,370,311,59
6,41,162,162,0,563,552,11
7,41,2,2,0,8,8,0
8,41,34,34,0,174,153,21
9,41,31,23,8,89,48,41
10,41,44,34,10,85,59,26
11,41,48,24,24,98,43,55
12,41,23,18,5,56,47,9
1,42,206,206,0,617,564,53
2,42,804,804,0,3281,2695,586
3,42,42,42,0,156,135,21
4,42,196,196,0,704,684,20
5,42,328,328,0,822,709,113
6,42,396,396,0,1441,1423,18
7,42,4,4,0,9,5,4
8,42,51,51,0,367,334,33
9,42,71,52,19,190,121,69
10,42,95,85,10,183,150,33
11,42,106,51,55,218,83,135
12,42,57,47,10,99,79,20
1,43,382,382,0,1195,1097,98
2,43,1521,1521,0,5350,4503,847
3,43,115,115,0,327,320,7
4,43,381,381,0,1259,1222,37
5,43,614,614,0,1484,1295,189
6,43,867,867,0,2914,2853,61
7,43,12,12,0,24,18,6
8,43,144,144,0,741,681,60
9,43,154,123,31,394,261,133
10,43,119,103,16,285,215,70
11,43,228,118,110,446,186,260
12,43,120,91,29,246,185,61
1,44,186,186,0,604,546,58
2,44,903,903,0,3078,2621,457
3,44,74,74,0,228,216,12
4,44,304,304,0,897,877,20
5,44,475,475,0,1104,967,137
6,44,551,551,0,1915,1871,44
8,44,74,74,0,414,371,43
9,44,109,83,26,255,177,78
10,44,131,115,16,250,189,61
11,44,175,83,92,349,136,213
12,44,76,61,15,133,96,37
1,45,81,81,0,284,257,27
2,45,410,410,0,1651,1343,308
3,45,19,19,0,85,80,5
4,45,88,88,0,349,343,6
5,45,193,193,0,508,434,74
6,45,284,284,0,961,936,25
8,45,33,33,0,226,209,17
9,45,44,34,10,113,76,37
10,45,63,52,11,122,96,26
11,45,72,34,38,157,52,105
12,45,37,28,9,77,52,25
1,46,159,159,0,504,447,57
2,46,862,862,0,3002,2566,436
3,46,49,49,0,178,172,6
4,46,175,175,0,619,603,16
5,46,412,412,0,1051,889,162
6,46,542,542,0,1881,1829,52
7,46,3,3,0,7,3,4
8,46,93,93,0,452,421,31
9,46,105,78,27,265,170,95
10,46,103,85,18,229,183,46
11,46,95,53,42,210,97,113
12,46,57,43,14,123,90,33
