row,col,hsa,hs,ha,thsa,ths,tha
38,5,6,6,0,13,13,0
39,5,53,53,0,162,142,20
40,5,23,17,6,92,70,22
41,5,21,21,0,68,67,1
42,5,65,50,15,342,292,50
43,5,29,29,0,73,70,3
44,5,43,41,2,157,151,6
45,5,4,4,0,8,8,0
48,5,224,224,0,1231,1113,118
49,5,205,188,17,1160,1065,95
53,5,12,1,11,72,3,69
55,5,7,6,1,36,25,11
56,5,4,4,0,11,10,1
57,5,6,6,0,43,41,2
60,5,41,8,33,141,64,77
61,5,2,0,2,12,8,4
62,5,21,14,7,146,108,38
1,6,8,7,1,28,26,2
2,6,912,897,15,3303,3264,39
3,6,1588,1519,69,6100,5765,335
4,6,188,188,0,634,555,79
5,6,480,430,50,1519,1419,100
6,6,151,151,0,1351,847,504
7,6,386,350,36,1526,1153,373
8,6,75,75,0,768,424,344
9,6,35,35,0,342,198,144
10,6,93,93,0,735,693,42
11,6,30,30,0,228,211,17
12,6,70,70,0,603,561,42
13,6,85,85,0,269,247,22
14,6,266,246,20,1016,926,90
15,6,129,129,0,917,898,19
16,6,282,282,0,1051,1022,29
17,6,59,59,0,563,543,20
18,6,138,138,0,501,448,53
19,6,116,116,0,407,399,8
20,6,662,622,40,2128,2006,122
22,6,42,42,0,108,108,0
24,6,97,90,7,308,293,15
27,6,2,2,0,3,3,0
32,6,547,439,108,2369,2043,326
33,6,318,297,21,1617,1507,110
34,6,4,4,0,16,15,1
35,6,1141,1117,24,4709,4533,176
36,6,1165,1165,0,4366,4308,58
37,6,10,7,3,33,24,9
38,6,17,17,0,59,59,0
39,6,156,156,0,433,366,67
40,6,75,44,31,272,169,103
41,6,72,70,2,300,296,4
42,6,211,187,24,909,775,134
43,6,83,83,0,156,148,8
44,6,161,150,11,553,527,26
45,6,8,8,0,30,30,0
46,6,8,7,1,19,15,4
47,6,3,2,1,15,4,11
48,6,599,599,0,3394,3075,319
49,6,614,568,46,3116,2830,286
53,6,35,3,32,190,8,182
54,6,5,5,0,10,7,3
55,6,17,14,3,90,65,25
56,6,6,6,0,40,28,12
57,6,29,25,4,125,113,12
60,6,130,26,104,417,187,230
61,6,5,2,3,45,28,17
62,6,68,41,27,409,307,102
1,7,13,13,0,27,27,0
2,7,1148,1129,19,4200,4135,65
3,7,2185,2087,98,8307,7832,475
4,7,188,188,0,708,607,101
5,7,646,591,55,2022,1894,128
6,7,202,202,0,1530,1041,489
7,7,540,492,48,1963,1548,415
8,7,116,116,0,886,535,351
9,7,40,40,0,380,221,159
10,7,159,159,0,1061,1015,46
11,7,37,37,0,328,308,20
12,7,106,106,0,770,728,42
13,7,139,139,0,452,414,38
14,7,349,328,21,1473,1363,110
15,7,180,180,0,1364,1333,31
16,7,447,447,0,1479,1440,39
17,7,99,99,0,761,736,25
18,7,260,260,0,826,766,60
19,7,150,150,0,538,521,17
20,7,804,750,54,2631,2482,149
22,7,32,29,3,108,104,4
24,7,158,153,5,498,480,18
30,7,3,3,0,5,5,0
32,7,649,511,138,2915,2500,415
33,7,379,347,32,1894,1779,115
34,7,8,7,1,38,36,2
35,7,1295,1265,30,5442,5227,215
36,7,1370,1370,0,5113,5051,62
37,7,18,10,8,58,40,18
38,7,13,13,0,73,72,1
39,7,252,252,0,658,557,101
40,7,120,62,58,409,260,149
41,7,130,128,2,565,561,4
42,7,219,188,31,1036,884,152
43,7,75,75,0,154,143,11
44,7,173,164,9,693,662,31
45,7,11,11,0,36,36,0
46,7,6,5,1,12,10,2
47,7,4,1,3,17,5,12
48,7,771,771,0,4005,3635,370
49,7,746,702,44,3700,3393,307
53,7,37,3,34,238,12,226
54,7,3,3,0,10,4,6
55,7,33,26,7,131,94,37
56,7,15,15,0,79,71,8
