row,col,hsa,hs,ha,thsa,ths,tha
4,37,55,55,0,242,226,16
5,37,158,148,10,437,400,37
6,37,110,110,0,392,377,15
7,37,52,52,0,213,209,4
8,37,153,145,8,379,360,19
10,37,3,3,0,4,4,0
11,37,387,387,0,1205,1172,33
12,37,48,48,0,122,121,1
13,37,3,2,1,6,4,2
14,37,366,366,0,1539,1385,154
15,37,10,10,0,28,28,0
16,37,12,5,7,18,7,11
1,38,180,180,0,654,587,67
2,38,266,266,0,1045,996,49
3,38,75,75,0,353,321,32
4,38,183,183,0,781,733,48
5,38,475,456,19,1254,1138,116
6,38,335,335,0,1199,1176,23
7,38,202,202,0,702,685,17
8,38,420,410,10,1120,1071,49
10,38,10,7,3,26,20,6
11,38,1009,1009,0,2988,2869,119
12,38,136,136,0,319,319,0
13,38,5,4,1,17,10,7
14,38,1017,1017,0,4227,3875,352
15,38,26,26,0,71,67,4
16,38,20,9,11,50,28,22
1,39,279,279,0,911,829,82
2,39,336,336,0,1258,1212,46
3,39,117,117,0,414,383,31
4,39,263,263,0,986,941,45
5,39,602,571,31,1572,1441,131
6,39,434,434,0,1492,1466,26
7,39,265,265,0,923,895,28
8,39,499,485,14,1360,1294,66
10,39,2,2,0,8,5,3
11,39,1168,1168,0,3494,3335,159
12,39,168,165,3,412,406,6
13,39,3,2,1,13,11,2
14,39,1219,1219,0,4856,4415,441
15,39,27,27,0,80,70,10
16,39,32,23,9,66,37,29
1,40,129,129,0,465,428,37
2,40,154,154,0,601,580,21
3,40,53,53,0,187,175,12
4,40,110,110,0,445,416,29
5,40,316,294,22,773,690,83
6,40,187,187,0,754,740,14
7,40,121,121,0,463,447,16
8,40,344,330,14,870,817,53
10,40,4,3,1,6,4,2
11,40,623,623,0,1962,1867,95
12,40,92,91,1,225,223,2
13,40,4,1,3,7,4,3
14,40,710,710,0,2690,2462,228
15,40,16,16,0,60,46,14
16,40,13,5,8,26,11,15
1,41,51,51,0,192,168,24
2,41,63,63,0,228,213,15
3,41,17,17,0,71,63,8
4,41,33,33,0,168,160,8
5,41,97,92,5,283,263,20
6,41,79,79,0,294,280,14
7,41,37,37,0,185,181,4
8,41,103,97,6,363,340,23
11,41,185,185,0,633,603,30
12,41,36,35,1,86,83,3
13,41,2,2,0,4,4,0
14,41,361,361,0,1613,1462,151
16,41,2,2,0,4,3,1
1,42,116,116,0,473,426,47
2,42,144,144,0,533,508,25
3,42,38,38,0,160,146,14
4,42,121,121,0,441,417,24
5,42,252,238,14,684,629,55
6,42,135,135,0,624,612,12
7,42,114,114,0,379,367,12
8,42,243,233,10,665,618,47
11,42,409,409,0,1565,1497,68
12,42,72,72,0,187,187,0
13,42,3,3,0,7,6,1
14,42,738,738,0,3504,3148,356
15,42,5,5,0,15,15,0
16,42,9,6,3,16,10,6
1,43,216,216,0,727,673,54
2,43,282,282,0,986,959,27
3,43,63,63,0,286,267,19
4,43,214,214,0,779,746,33
5,43,474,444,30,1255,1139,116
6,43,351,351,0,1241,1211,30
7,43,185,185,0,725,694,31
8,43,459,443,16,1183,1123,60
10,43,3,3,0,12,10,2
11,43,913,913,0,3096,2927,169
12,43,88,86,2,216,211,5
13,43,3,3,0,8,6,2
14,43,1320,1320,0,5358,4846,512
15,43,10,10,0,29,27,2
16,43,10,6,4,31,12,19
1,44,160,160,0,567,519,48
2,44,195,195,0,648,620,28
3,44,55,55,0,193,186,7
4,44,121,121,0,517,493,24
5,44,356,336,20,927,830,97
6,44,242,242,0,819,801,18
7,44,144,144,0,477,455,22
8,44,338,326,12,874,834,40
11,44,608,608,0,2031,1921,110
12,44,81,80,1,221,216,5
13,44,3,2,1,9,6,3
14,44,766,766,0,3002,2745,257
15,44,2,2,0,12,11,1
16,44,16,12,4,30,18,12
1,45,54,54,0,216,205,11
2,45,79,79,0,299,291,8
3,45,21,21,0,98,93,5
4,45,62,62,0,225,218,7
5,45,120,115,5,354,324,30
6,45,97,97,0,375,366,9
7,45,46,46,0,195,189,6
8,45,100,97,3,348,332,16
11,45,303,303,0,1147,1066,81
12,45,49,49,0,133,133,0
14,45,292,292,0,1457,1337,120
16,45,5,2,3,12,7,5
1,46,111,111,0,431,381,50
2,46,128,128,0,546,530,16
3,46,45,45,0,206,189,17
4,46,93,93,0,386,353,33
5,46,226,216,10,612,564,48
6,46,155,155,0,597,589,8
7,46,82,82,0,340,326,14
8,46,211,194,17,628,592,36
11,46,563,563,0,1944,1834,110
12,46,68,66,2,211,209,2
13,46,2,2,0,3,2,1
14,46,632,632,0,2845,2577,268
15,46,11,11,0,29,26,3
16,46,7,4,3,13,8,5
